Time,Current,Voltage
0,0.20,11.85
496,0.36,11.85
979,0.36,11.85
1462,0.36,11.85
1985,0.36,11.85
2467,0.36,11.85
2990,0.36,11.85
3471,0.36,11.85
3994,0.36,11.85
4477,0.36,11.85
5000,0.36,11.85
5481,0.36,11.85
5964,0.31,11.85
6487,0.36,11.85
6968,0.36,11.85
7491,0.36,11.85
7973,0.36,11.85
8497,0.36,11.85
8979,0.36,11.85
9462,0.36,11.85
9984,0.36,11.85
10480,0.36,11.85
10963,0.31,11.85
11486,0.36,11.85
11968,0.36,11.85
12491,0.36,11.85
12974,0.36,11.85
13497,0.36,11.85
13979,0.36,11.85
14462,0.36,11.85
14984,0.36,11.85
15496,0.36,11.85
15978,0.36,11.85
16460,0.36,11.85
16983,0.36,11.85
17466,0.36,11.85
17988,0.36,11.85
18471,0.36,11.85
18994,0.36,11.85
19476,0.36,11.85
19999,0.36,11.85
20493,0.36,11.85
20976,0.36,11.85
21499,0.36,11.85
21981,0.36,11.85
22464,0.36,11.85
22987,0.36,11.85
23470,0.36,11.85
23992,0.36,11.85
24474,0.20,11.77
24997,0.36,11.85
25493,0.36,11.85
25976,0.36,11.85
26498,0.36,11.85
26981,0.36,11.85
27464,0.36,11.85
27987,0.36,11.85
28470,0.36,11.85
28993,0.36,11.85
29476,0.36,11.85
29998,0.36,11.85
30469,0.36,11.85
30992,0.36,11.85
31474,0.36,11.85
31997,0.36,11.85
32480,0.36,11.85
32962,0.36,11.85
33485,0.36,11.85
33967,0.36,11.85
34490,0.36,11.85
34973,0.36,11.85
35469,0.36,11.85
35992,0.36,11.85
36474,0.36,11.85
36997,0.20,11.85
37480,0.36,11.85
37962,0.36,11.85
38485,0.36,11.85
38967,0.36,11.85
39490,0.36,11.85
39973,0.36,11.85
40467,0.36,11.85
40990,0.36,11.85
41473,0.36,11.85
41996,0.25,11.85
42479,0.36,11.85
42962,0.36,11.85
43484,0.36,11.85
43967,0.36,11.85
44490,0.36,11.85
44972,0.36,11.85
45485,0.36,11.85
45968,0.36,11.85
46491,0.36,11.85
46974,0.36,11.85
47497,0.25,11.85
47979,0.36,11.85
48462,0.36,11.85
48985,0.36,11.85
49467,0.36,11.85
49990,0.36,11.85
50485,0.36,11.85
50968,-5.71,11.46
51490,0.36,11.85
51973,0.36,11.85
52496,0.25,11.85
52979,0.36,11.85
53462,-5.49,11.46
53985,-0.02,11.85
54468,0.31,11.85
54990,0.31,11.85
55485,-4.17,11.77
55968,0.20,11.62
56491,-2.84,11.54
56974,-4.44,11.22
57497,-4.72,11.62
57980,-0.02,11.77
58462,-0.30,11.22
58985,-5.49,11.54
59468,-3.72,11.38
59991,-2.84,11.77
60462,-1.46,11.54
60985,-1.40,11.69
61468,-0.13,11.14
61991,-1.07,11.62
62473,-4.50,11.38
62996,-4.61,11.54
63479,-3.12,11.54
63961,-5.77,11.69
64484,-4.61,11.54
64967,-4.50,11.62
65500,-4.66,11.77
65983,-1.35,11.77
66466,-2.01,11.38
66989,-0.41,11.46
67472,-4.77,11.54
67994,-5.82,11.46
68477,-3.89,11.54
69000,0.09,11.54
69483,-0.19,11.62
69965,-3.17,11.38
70478,0.03,11.85
71000,-4.77,11.69
71483,-0.80,11.69
71966,-5.49,11.62
72488,-2.56,11.22
72970,-0.41,11.38
73492,-0.30,11.54
73974,-0.13,11.62
74496,-0.74,11.62
74979,-4.05,11.54
75474,-4.77,11.85
75997,-2.18,11.62
76479,-0.30,11.38
76962,-1.35,11.46
77483,-3.94,11.38
77965,-4.11,11.46
78487,-1.35,11.77
78970,-1.46,11.54
79493,-3.06,11.69
79976,-2.18,11.22
80471,-3.89,11.54
80994,-4.50,11.54
81476,-0.19,11.85
81999,0.09,11.69
82482,-0.13,11.46
82964,-0.96,11.62
83487,-3.12,11.38
83969,-0.80,11.54
84492,-2.18,11.38
84975,-4.33,11.46
85483,-4.33,11.46
85966,-3.06,11.46
86489,-5.44,11.77
86972,-4.17,12.17
87495,-0.02,11.46
87978,-0.63,11.22
88461,-0.30,11.46
88984,-3.01,11.38
89466,-2.12,11.46
89989,-0.02,11.77
90496,-3.34,11.77
90979,-3.72,11.54
91461,-4.66,11.54
91984,-0.30,11.93
92466,-3.01,11.38
92989,-0.30,11.62
93472,0.14,11.69
93995,-0.52,11.38
94477,-2.18,11.22
95000,-2.12,11.62
95466,-3.94,11.62
95989,-0.08,11.77
96471,-1.13,11.62
96995,-0.08,11.54
97477,-1.90,11.54
98000,-4.50,11.22
98483,-5.16,11.62
98966,-2.62,11.46
99488,-1.29,11.77
99971,-1.40,11.62
100479,-5.99,11.69
100962,0.03,11.14
101485,-0.13,11.77
101967,-5.32,11.38
102490,-4.33,11.85
102973,-0.52,11.77
103496,-4.66,11.14
103979,-3.72,11.69
104461,-4.05,11.54
104984,-0.36,11.69
105489,-4.50,11.38
105972,-0.08,11.62
106495,-1.90,11.62
106978,-2.40,11.69
107500,-5.27,11.93
107982,-4.72,11.38
108464,-5.44,11.69
108987,-0.02,11.62
109470,-1.02,11.85
109992,-1.02,11.46
110461,-0.85,11.62
110984,-5.05,11.46
111467,-4.33,11.14
111989,0.09,11.69
112472,-4.44,11.62
112995,-4.00,11.62
113478,-0.74,11.46
114000,-0.80,11.77
114483,-3.67,11.46
114965,-2.73,11.38
115471,-0.52,11.54
115994,-1.29,11.77
116477,-4.99,11.69
117000,-4.39,11.38
117482,-3.06,11.54
117965,-0.52,11.22
118489,-2.51,11.69
118971,-2.07,11.85
119494,-5.49,11.54
119977,-0.52,11.38
120483,-0.58,11.93
120965,-0.30,11.62
121488,0.03,11.54
121971,-2.07,11.54
122494,-0.19,11.77
122977,-2.12,11.46
123499,-5.27,11.77
123982,-4.72,11.62
124464,-4.55,11.77
124987,-3.34,11.54
125496,-2.45,11.77
125979,0.09,11.46
126461,-4.99,11.93
126984,-3.83,11.54
127466,-4.77,11.22
127989,-4.44,11.77
128472,-5.05,11.46
128995,-4.17,11.62
129478,-1.24,11.22
129961,-3.94,11.85
130467,-3.34,11.62
130990,-4.17,11.22
131473,-1.40,11.85
131995,-3.89,11.54
132478,-3.94,11.69
132961,-0.02,11.85
133484,-0.08,11.77
133966,-0.13,11.54
134489,-0.47,11.77
134971,-1.35,11.77
135477,0.09,11.62
136000,-1.85,11.54
136483,-0.30,11.62
136966,-2.29,11.77
137488,-2.34,11.38
137969,-1.40,11.62
138492,-1.24,11.46
138975,-0.13,11.77
139498,-0.36,11.62
139981,-5.27,11.69
140490,-4.55,11.85
140972,-0.80,11.22
141493,-5.16,11.14
141976,-4.99,11.54
142498,-0.02,11.69
142981,-2.18,11.54
143464,-4.99,11.54
143987,-5.32,11.62
144469,-1.79,11.85
144992,-2.12,11.77
145500,-0.02,11.77
145983,0.36,11.85
146464,0.36,11.85
146987,0.36,11.85
147470,0.25,11.85
147992,-4.77,11.54
148475,-4.55,11.77
148998,0.25,11.85
149480,0.25,11.85
149963,-5.21,11.54
150471,-5.05,11.85
150994,-2.18,11.77
151477,-4.50,11.14
151999,-0.30,11.77
152482,-2.01,11.38
152966,-1.51,11.85
153489,-4.00,11.54
153972,-3.94,11.85
154494,-3.17,11.62
154977,-1.13,11.54
155488,-2.18,11.69
155971,-5.10,11.46
156493,0.20,11.38
156976,-1.46,11.22
157500,-3.94,11.54
