Time,Current,Voltage
0,23.94,1.00
471,24.32,1.00
993,24.52,0.85
1476,24.45,0.85
1999,24.39,0.85
2482,24.39,1.00
2965,24.39,0.85
3488,24.58,1.00
3970,24.32,1.00
4493,24.32,1.00
4975,24.39,0.85
5477,24.32,1.00
6000,24.39,1.00
6482,24.32,0.85
6965,24.52,0.77
7487,24.32,0.77
7970,24.45,0.85
8492,24.32,0.77
8975,24.39,1.00
9498,24.39,1.00
9980,24.32,1.00
10493,24.39,0.77
10976,24.45,0.77
11499,24.39,1.00
11982,24.39,0.85
12464,24.39,0.85
12987,24.45,1.00
13470,24.39,0.85
13992,24.52,0.85
14475,24.39,1.00
14998,24.26,0.77
15486,24.45,1.00
15968,24.39,0.77
16491,24.52,1.00
16974,24.52,0.77
17497,24.45,0.77
17978,24.39,0.85
18461,24.45,0.77
18983,24.52,0.85
19466,24.39,1.00
19989,24.39,0.77
20460,24.39,1.00
20983,24.39,0.77
21465,24.39,0.85
21988,24.39,1.00
22471,24.45,0.85
22994,24.39,0.77
23476,24.45,0.85
23999,24.52,0.85
24481,24.45,0.77
24964,24.32,0.85
