Time,Current,Voltage
0,-0.37,11.85
427,-0.51,11.85
928,-0.51,11.85
1430,-0.51,11.85
1931,-0.51,11.85
2433,-0.46,11.85
2934,-0.51,11.85
3435,-0.51,11.85
3937,3.56,11.54
4438,1.99,11.54
4940,2.54,11.14
5466,2.73,11.38
5967,1.48,11.62
6469,1.94,11.85
6970,0.60,11.77
7472,1.30,11.22
7973,0.93,11.77
8474,2.59,11.46
8976,2.27,11.69
9477,0.74,11.85
9979,0.97,12.01
10402,1.90,11.69
10904,0.74,11.69
11406,0.65,11.62
11907,2.64,11.54
12408,2.73,11.14
12909,1.34,11.77
13409,1.94,11.62
13911,1.53,11.85
14412,0.83,11.85
14913,2.41,11.22
15441,2.82,11.54
15943,1.94,11.46
16444,1.30,11.07
16945,1.90,11.54
17447,0.88,11.46
17948,3.01,11.54
18450,1.94,11.69
18951,2.08,11.85
19453,2.08,11.22
19954,1.20,11.69
20479,1.85,11.07
20980,2.87,11.69
21481,1.34,11.69
21982,1.25,11.14
22484,1.48,11.14
22985,1.34,11.14
23487,2.31,11.46
23988,1.34,11.62
24490,0.65,11.14
24991,1.43,11.54
25416,1.25,11.38
25917,1.39,11.07
26419,0.70,11.69
26920,0.97,11.14
27421,0.65,11.07
27923,3.05,11.69
28424,1.34,11.22
28926,2.36,11.38
29427,0.65,11.85
29929,1.16,11.07
30456,2.36,11.69
30958,1.62,11.54
31459,1.07,11.54
31960,1.39,11.85
32462,1.07,11.85
32964,1.48,11.77
33465,2.59,11.77
33967,2.91,11.77
34468,1.48,10.99
34969,0.79,11.54
35495,1.71,11.85
35996,1.20,11.46
36498,2.13,11.69
36998,2.73,11.85
37500,1.25,11.62
38000,3.10,11.62
38401,0.79,11.46
38903,2.36,11.62
39404,2.73,11.54
39905,1.20,11.38
40431,0.70,11.77
40933,1.94,11.62
41434,1.53,11.62
41935,2.17,11.14
42437,3.28,11.07
42938,1.53,11.38
43439,1.90,11.14
43940,0.65,11.14
44441,0.46,11.77
44943,1.71,11.69
45470,0.83,11.54
45971,2.96,11.77
46473,2.64,11.77
46974,1.62,11.85
47476,1.76,11.77
47977,0.70,11.54
48478,1.30,11.77
48980,1.39,11.22
49481,1.80,11.85
49983,1.25,11.07
50408,1.90,11.22
50909,3.24,11.77
51411,1.76,11.62
51912,2.13,11.77
52414,0.93,11.14
52915,1.62,11.77
53417,1.16,11.85
53918,0.79,11.77
54420,2.91,11.85
54921,1.80,11.46
55446,2.31,11.77
55948,1.48,11.85
56449,0.93,11.22
56951,1.71,11.38
57452,1.43,11.69
57954,1.48,11.46
58455,2.04,11.62
58956,0.79,11.38
59458,0.83,11.62
59959,1.62,11.14
60488,2.50,11.54
60989,2.13,11.85
61491,0.70,11.77
61992,0.93,11.22
62494,1.90,11.46
62994,3.42,11.07
63495,1.43,11.93
63997,2.82,11.54
64498,2.45,11.46
65000,3.01,11.46
65425,2.17,11.69
65926,2.27,11.77
66428,2.41,11.54
66929,2.41,11.14
67431,1.25,11.62
67932,2.73,11.38
68433,2.08,11.85
68935,1.39,11.54
69437,2.41,11.62
69938,2.45,11.46
70464,1.85,11.62
70965,0.74,11.62
71467,2.45,11.38
71967,0.88,11.62
72468,1.16,11.85
72970,1.48,11.46
73471,1.16,11.85
73973,1.07,11.85
74474,1.62,11.14
74975,1.34,11.77
75401,0.74,11.54
75903,1.62,11.85
76404,0.70,11.93
76906,2.59,11.46
77407,2.82,11.54
77908,2.73,11.38
78410,0.93,11.46
78911,0.60,11.69
79413,1.20,11.77
79914,3.05,11.62
80439,1.76,11.38
80940,3.28,11.22
81442,1.90,11.07
81943,1.43,12.01
82445,0.33,11.22
82946,1.20,11.46
83447,1.71,11.85
83949,2.73,11.38
84450,-0.51,11.85
84952,-0.51,11.85
85477,-0.51,11.85
85979,-0.51,11.85
86480,-0.51,11.85
86981,-0.46,11.85
87482,-0.51,11.85
87984,-0.51,11.85
88486,-0.46,11.85
88987,-0.51,11.85
89488,-0.46,11.85
89990,-0.51,11.85
90416,-0.46,11.85
90917,-0.51,11.85
91419,-0.51,11.85
91920,-0.51,11.85
92421,-0.51,11.85
92923,-0.51,11.85
93424,-0.51,11.85
93926,-0.51,11.85
94427,-0.51,11.85
94929,-0.51,11.85
95454,-0.51,11.85
95956,-0.51,11.85
96457,-0.46,11.85
96959,-0.46,11.85
97461,-0.46,11.85
97962,-0.51,11.85
98464,-0.51,11.85
98965,-0.51,11.85
99466,-0.51,11.85
99968,-0.46,11.85
100494,-0.51,11.85
100996,-0.51,11.85
101497,-0.51,11.85
101998,-0.51,11.85
102500,-0.51,11.85
102901,-0.46,11.85
103402,-0.46,11.85
103904,-0.46,11.85
104405,-0.46,11.85
104907,-0.51,11.85
105431,-0.46,11.85
105933,-0.51,11.85
106434,-0.51,11.85
106936,-0.51,11.85
107437,-0.46,11.85
107938,-0.51,11.85
108440,-0.46,11.85
108941,-0.51,11.85
109443,-0.46,11.85
109944,-0.51,11.85
110470,-0.46,11.85
110971,-0.51,11.85
111473,-0.51,11.85
111973,-0.51,11.85
112475,-0.51,11.85
112976,-0.46,11.85
113477,-0.51,11.85
113979,-0.46,11.85
114480,-0.46,11.85
114982,-0.51,11.85
115409,-0.51,11.85
115911,-0.51,11.85
116412,-0.46,11.85
116913,-0.46,11.85
117415,-0.51,11.85
117916,-0.51,11.85
118418,-0.51,11.85
118919,-0.51,11.85
119421,-0.51,11.85
119922,-0.51,11.85
120446,-0.51,11.85
120947,-0.46,11.85
121449,-0.51,11.93
121950,-0.51,11.85
122452,-0.51,11.85
122952,-0.51,11.85
123454,-0.51,11.85
123955,-0.51,11.85
124456,-0.51,11.85
124958,-0.51,11.85
125485,-0.51,11.85
125986,-0.51,11.85
126488,-0.51,11.85
126989,-0.51,11.85
127491,-0.46,11.85
127992,-0.51,11.85
128493,-0.51,11.85
128995,-0.46,11.85
129496,-0.51,11.85
129998,-0.51,11.85
130421,-0.51,11.85
130923,-0.51,11.85
131424,-0.51,11.85
131926,-0.51,11.85
132427,-0.51,11.85
132928,-0.51,11.85
133430,-0.51,11.85
133931,-0.51,11.85
134433,-0.51,11.85
134934,-0.51,11.85
135458,-0.51,11.85
135960,-0.51,11.85
136461,-0.51,11.85
136963,-0.51,11.85
137463,-0.51,11.85
137965,-0.46,11.85
138466,-0.51,11.85
138967,-0.51,11.85
139469,-0.51,11.85
139970,-0.46,11.85
140498,-0.51,11.85
140999,-0.51,11.85
141401,-0.46,11.85
141902,-0.51,11.85
142404,-0.51,11.85
142905,-0.51,11.85
143407,-0.51,11.85
143908,-0.46,11.85
144410,-0.51,11.85
144911,-0.51,11.85
145435,-0.51,11.85
145937,-0.51,11.85
146438,-0.51,11.85
146940,-0.51,11.85
147441,-0.51,11.85
147942,-0.51,11.85
148444,-0.46,11.85
148945,-0.51,11.85
149447,-0.51,11.85
149948,-0.51,11.85
150474,-0.51,11.85
150975,-0.51,11.85
151477,-0.51,11.85
151978,-0.51,11.85
152480,-0.51,11.85
152981,-0.51,11.85
153483,-0.51,11.85
153984,-0.51,11.85
154486,-0.51,11.85
154987,-0.46,11.85
155411,-0.51,11.85
155913,-0.46,11.85
156414,-0.51,11.85
156916,-0.46,11.85
157417,-0.51,11.85
157919,-0.51,11.85
