Time,Current,Voltage
0,0.07,12.79
490,0.26,12.87
973,0.26,12.79
1496,0.26,12.79
1978,0.26,12.87
2500,0.26,12.79
2982,0.33,12.79
3465,0.26,12.87
3988,0.26,12.87
4471,0.26,12.87
4994,0.26,12.87
5478,0.26,12.79
5961,0.33,12.87
6484,0.26,12.79
6967,0.26,12.79
7490,0.26,12.79
7973,0.26,12.79
8496,0.26,12.87
8979,0.26,12.87
9461,0.26,12.79
9984,0.26,12.79
10468,0.26,12.87
10991,0.33,12.87
11473,0.26,12.79
11996,0.26,12.87
12478,0.26,12.79
12960,0.33,12.87
13483,0.26,12.79
13965,0.33,12.79
14487,0.26,12.87
14970,0.26,12.87
15497,0.26,12.87
15980,0.26,12.79
16461,0.33,12.79
16985,0.33,12.79
17466,0.26,12.87
17989,0.26,12.79
18471,0.33,12.87
18994,0.33,12.87
19477,0.33,12.79
20000,0.26,12.87
20484,0.26,12.79
20967,0.26,12.87
21490,0.26,12.87
21972,0.26,12.79
22495,0.26,12.79
22978,0.26,12.79
23461,0.33,12.79
23984,0.26,12.79
24467,0.33,12.79
24989,0.33,12.87
25474,0.26,12.79
25997,0.26,12.87
26479,0.26,12.79
26962,0.33,12.79
27484,0.26,12.79
27967,0.26,12.79
28490,0.26,12.79
28972,0.26,12.87
29494,0.26,12.79
29976,0.26,12.72
30464,0.26,12.79
30987,0.26,12.87
31469,0.26,12.79
31992,0.26,12.79
32474,0.33,12.87
32997,0.26,12.79
33480,0.33,12.79
33964,0.33,12.79
34487,0.26,12.87
34969,0.33,12.72
35494,0.26,12.79
35976,0.26,12.79
36499,0.33,12.79
36982,0.26,12.79
37465,0.26,12.87
37988,0.26,12.79
38470,0.33,12.87
38993,0.33,12.79
39476,0.33,12.79
39999,0.26,12.79
40483,0.26,12.79
40966,0.26,12.79
41488,0.26,12.72
41970,0.26,12.72
42493,0.26,12.79
42975,0.26,12.72
43498,0.26,12.79
43981,0.26,12.79
44463,0.33,12.79
44986,0.26,12.72
45473,0.33,12.79
45995,0.26,12.79
46478,0.26,12.87
46961,0.26,12.72
47484,0.26,12.87
47967,0.26,12.72
48489,0.33,12.79
48972,0.33,12.72
49495,0.26,12.79
49978,0.26,12.79
50462,0.26,12.79
50985,0.26,12.79
51468,0.33,12.79
