Time,Current,Voltage
0,-0.37,11.85
486,0.28,11.38
969,1.30,11.14
1492,1.67,11.14
1974,1.57,11.14
2497,1.39,11.14
2980,1.43,11.14
3462,1.34,11.14
3985,1.53,11.14
4468,1.67,11.14
4990,1.53,11.14
5494,1.62,11.14
5977,1.62,11.14
6500,1.53,11.14
6983,1.53,11.14
7465,1.57,11.14
7988,1.43,11.14
8470,1.57,11.14
8993,1.48,11.14
9475,1.34,11.14
9998,1.39,11.14
10464,1.30,11.14
10988,1.34,11.14
11470,1.16,11.14
11993,1.34,11.14
12475,1.39,11.14
12998,1.53,11.14
13481,1.62,11.14
13964,1.67,11.14
14486,1.71,11.14
14969,1.57,11.14
15490,1.62,11.14
15973,1.53,11.14
16495,1.48,11.14
16978,1.39,11.14
17461,1.48,11.14
17983,1.48,11.14
18466,1.62,11.14
18989,1.67,11.14
19472,1.53,11.14
19995,1.53,11.14
20487,1.43,11.14
20970,1.34,11.14
21493,1.34,11.14
21975,1.39,11.14
22498,1.53,11.14
22981,1.39,11.14
23464,1.62,11.14
23987,1.57,11.14
24470,1.57,11.14
24993,1.48,11.14
25469,1.30,11.14
25992,1.39,11.07
26475,1.62,11.07
26998,1.34,11.07
27480,1.39,11.07
27963,1.43,11.07
28486,1.57,11.07
28968,1.67,11.07
29491,1.57,11.07
29974,1.76,11.07
30494,1.67,11.07
30977,1.76,11.07
31500,2.04,11.07
31983,1.94,11.07
32465,1.39,11.07
32988,0.83,11.07
33472,0.79,11.07
33994,0.79,11.07
34477,0.79,11.07
35000,0.79,11.07
35478,0.79,11.07
35999,0.79,11.07
36483,0.79,11.07
36965,0.79,11.07
37488,0.79,11.07
37970,0.79,11.07
38493,0.79,11.07
38976,0.79,11.07
39498,0.79,11.07
39982,0.79,11.07
40499,0.79,11.07
40982,0.79,11.07
41465,0.79,11.07
41988,0.79,11.07
42470,0.79,11.07
42993,0.79,11.07
43476,0.79,11.07
43998,0.79,11.07
44481,0.79,11.07
44964,0.79,11.07
45484,0.79,11.07
45966,0.79,11.07
46489,0.79,11.07
46972,0.79,11.07
47494,0.79,11.07
47977,0.79,11.07
48500,0.74,11.07
48983,0.74,11.07
49466,0.74,11.07
49988,0.74,11.07
50466,0.74,11.07
50989,0.74,11.07
51472,0.74,11.07
51995,0.74,11.07
52477,0.74,11.07
52960,0.74,11.07
53483,0.74,11.07
53966,0.74,11.07
54488,0.74,11.07
54971,0.74,11.07
55489,0.74,11.07
55971,0.74,11.07
56495,0.74,11.07
56977,0.74,11.07
57500,0.74,11.07
57982,0.74,11.07
58465,0.74,11.07
58988,0.74,11.07
59470,0.74,11.07
59993,0.74,11.07
60473,0.74,11.07
60996,0.74,11.07
61479,0.74,11.07
61962,0.74,11.07
62484,0.74,11.07
62967,0.74,11.07
63490,0.74,11.07
63972,0.74,11.07
64496,0.74,11.07
64978,0.74,11.07
