Time,Current,Voltage
0,0.20,13.03
473,0.26,13.03
996,0.26,13.03
1478,0.33,13.03
1961,0.26,13.03
2484,0.26,13.03
2967,0.26,13.03
3489,0.33,13.03
3971,0.26,13.03
4494,0.33,13.03
4977,0.26,13.03
5476,0.26,13.03
5999,0.33,13.03
6481,0.33,13.03
6964,0.33,13.03
7487,0.33,13.03
7970,0.26,13.03
8493,0.33,13.03
8976,0.26,13.03
9498,0.26,13.03
9981,0.33,13.03
10492,0.33,13.03
10975,0.33,13.03
11498,0.26,13.03
11980,0.33,13.03
12463,0.26,13.03
12985,0.26,13.03
13468,0.26,13.03
13991,0.26,13.03
14473,0.26,13.03
14996,0.33,13.03
15484,0.33,13.03
15966,0.26,13.03
16490,0.26,13.03
16972,0.33,13.03
17495,0.26,13.03
17976,0.26,13.03
18499,0.33,13.03
18980,0.26,13.03
19462,0.26,13.03
19985,0.33,13.03
20496,0.26,13.03
20979,0.26,13.03
21460,0.26,13.03
21984,0.26,13.03
22466,0.26,13.03
22989,0.33,13.03
23472,0.33,13.03
23994,0.33,13.03
24477,0.33,13.03
25000,0.33,13.03
