Time,Current,Voltage
0,0.25,0.77
482,0.47,0.85
965,0.36,0.85
1487,0.47,1.00
1970,0.47,1.00
2493,0.47,0.85
2976,0.36,1.00
3499,0.47,0.85
3981,0.47,0.77
4464,0.47,1.00
4987,0.47,0.85
5498,0.47,0.85
5981,0.47,1.00
6463,0.36,0.85
6987,0.47,0.77
7469,0.36,0.85
7992,0.47,1.00
8474,0.47,0.85
8997,0.47,0.77
9479,0.47,1.00
9962,0.36,1.00
10482,0.36,0.77
10965,0.47,1.00
11487,0.36,1.00
11969,0.36,0.85
12492,0.47,1.00
12975,0.47,1.00
13498,0.47,0.85
13980,0.47,1.00
14463,0.47,0.85
14986,0.36,0.85
15483,0.36,0.85
15966,0.36,0.85
16488,0.47,0.85
16971,0.36,0.77
17493,0.47,1.00
17975,0.47,1.00
18498,0.47,1.00
18980,0.47,0.85
19463,0.36,1.00
19986,0.47,0.85
20465,0.47,1.00
20988,0.36,0.77
21471,0.36,1.00
21994,0.36,0.85
22477,0.36,0.85
22999,0.47,0.77
23482,0.47,1.00
23965,0.47,1.00
24487,0.47,0.77
24970,0.36,0.77
25491,0.47,0.77
25973,0.47,0.85
26496,0.31,0.85
26978,0.47,0.85
27461,0.47,0.77
27982,0.47,1.00
28465,0.36,1.00
28988,0.36,1.00
29470,0.47,1.00
29993,0.47,0.85
30490,0.36,0.77
30973,0.47,0.85
31495,0.47,1.00
31977,0.47,0.85
32460,0.47,1.00
32982,0.47,0.85
33464,0.47,1.00
33987,0.36,0.85
34470,0.47,0.85
34993,0.47,1.00
35478,0.36,1.00
35961,0.36,1.00
36484,0.36,0.85
36967,0.47,0.77
37490,0.36,0.77
37972,0.36,1.00
38495,0.47,0.85
38978,0.47,1.00
39460,0.47,0.77
39982,0.47,1.00
40461,0.47,1.00
40984,0.47,0.77
41467,0.47,1.00
41990,0.47,0.77
42472,0.36,0.85
42995,0.36,1.00
43476,0.47,0.77
43999,0.47,1.00
44482,0.47,0.77
44965,0.36,0.85
45461,0.36,0.77
45984,0.36,0.77
46467,0.47,1.00
46990,0.47,0.85
47473,0.47,1.00
47996,0.47,1.00
48479,0.47,0.77
48961,0.36,0.77
49484,0.47,0.85
49966,0.47,1.00
50486,0.47,1.00
50969,0.47,0.85
51491,0.36,1.00
51974,0.47,1.00
52497,0.36,1.00
52980,0.36,0.85
53462,0.47,0.77
53985,0.36,1.00
54467,0.47,1.00
54990,0.36,0.85
55469,0.36,0.85
55992,0.47,0.85
56474,0.36,0.85
56997,0.47,1.00
57480,0.36,0.85
57963,0.47,0.85
58486,0.36,1.00
58968,0.36,1.00
59491,0.36,0.85
59974,0.47,1.08
60471,0.47,1.00
60993,0.47,0.85
61477,0.47,0.77
61999,0.47,0.85
62481,0.47,1.00
62964,0.47,1.00
63487,0.36,0.85
63968,0.36,0.85
64491,0.47,0.85
64973,0.47,0.85
65492,0.47,1.00
65976,0.36,0.77
66498,0.36,0.85
66981,0.47,0.77
67463,0.47,0.85
67986,0.36,1.00
68469,0.36,0.77
68992,0.36,0.85
69475,0.36,1.00
69998,0.47,0.85
70478,0.47,0.85
70962,0.47,0.77
71484,0.36,0.85
71967,0.36,0.77
72490,0.36,0.77
72972,0.36,1.00
73495,0.36,1.00
73977,0.36,0.85
74461,0.36,1.00
74984,0.47,0.77
75480,0.47,0.85
75963,0.36,0.85
76486,0.47,1.00
76968,0.47,0.85
77490,0.47,1.00
77972,0.47,0.85
78494,0.36,1.00
78977,0.47,1.00
79499,0.47,0.77
79982,0.47,0.85
80487,0.47,0.77
80970,0.47,0.85
81493,0.47,1.00
81976,0.47,1.00
82498,0.47,1.00
82981,0.36,0.77
83464,0.47,1.00
83986,0.36,1.00
84468,0.36,1.00
84991,0.47,0.77
85482,0.47,0.77
85964,0.47,0.85
86487,0.36,0.85
86970,0.36,0.77
87493,0.36,0.85
87976,0.36,0.85
88498,0.36,1.00
88981,0.36,1.00
89464,0.31,0.85
89986,0.47,1.00
90480,0.36,1.00
90963,0.36,0.85
91486,0.47,1.00
91969,0.36,1.00
92491,0.36,1.00
92974,0.36,1.00
93496,0.36,1.00
93979,0.47,0.85
94461,0.36,1.00
94985,0.47,1.00
95475,0.47,0.85
95998,0.36,0.85
96481,0.36,0.77
96963,0.36,1.00
97486,0.47,0.85
97968,0.47,0.85
98491,0.36,1.00
98973,0.36,1.00
99496,0.47,1.00
99979,0.47,0.85
100470,0.47,0.85
100993,0.47,0.85
101475,0.36,0.77
101998,0.36,0.85
102481,0.47,0.77
102963,0.36,0.77
103486,0.36,1.00
103968,0.47,0.85
104491,0.36,0.77
104973,0.36,0.85
105466,0.36,0.77
105990,0.36,0.77
106472,0.47,1.00
106995,0.36,1.00
107478,0.47,1.00
107960,0.47,1.00
108483,0.47,0.85
108965,0.47,0.85
109487,0.36,0.85
109970,0.36,1.00
110461,0.36,1.00
110984,0.36,0.85
111466,0.36,0.85
111989,0.36,1.00
112471,0.36,0.85
112994,0.36,0.85
113477,0.36,1.00
114000,0.36,1.00
114482,0.47,0.85
114964,0.31,0.85
115494,0.36,1.00
115977,0.36,0.77
116499,0.47,1.00
116982,0.47,0.85
117465,0.47,1.00
117987,0.36,1.00
118470,0.36,1.00
118993,0.47,0.77
119476,0.36,1.00
119999,0.47,1.00
120492,0.47,1.00
120975,0.36,0.85
121497,0.36,0.85
121980,0.36,1.00
122463,0.36,0.85
122986,0.36,1.00
123469,0.36,0.85
123992,0.36,1.00
124475,0.47,0.77
124997,0.36,0.85
125488,0.47,1.00
125970,0.36,0.85
126494,0.36,0.85
126977,0.36,1.00
127498,0.36,1.00
127981,0.36,1.00
128464,0.36,1.00
128986,0.47,0.77
129469,0.36,1.00
129991,0.36,1.00
130482,0.36,0.85
130965,0.47,0.85
131488,0.36,1.00
131971,0.36,0.85
132493,0.36,1.00
132976,0.36,0.85
133499,0.47,0.77
133981,0.47,1.00
134464,0.36,1.00
134986,0.47,1.00
135479,0.36,1.00
135962,0.36,0.85
136485,0.36,1.00
136968,0.36,0.77
137491,0.36,0.85
137973,0.36,1.00
138496,0.36,0.85
138978,0.36,0.77
139461,0.36,0.85
139983,0.36,1.00
140475,0.47,0.85
140998,0.36,0.85
141480,0.36,1.00
141963,0.36,1.00
142486,0.36,0.85
142969,0.36,0.85
143492,0.25,0.77
143975,0.36,0.85
144498,0.47,0.85
144980,0.36,0.77
145471,0.36,0.85
145994,0.47,0.85
146477,0.36,0.77
146960,0.36,0.85
147483,0.31,1.00
147965,0.36,0.85
148488,0.36,0.77
148971,0.36,0.85
149493,0.36,0.85
149976,0.47,1.00
150469,0.36,1.00
150993,0.36,0.85
151476,0.36,0.77
151998,0.31,1.00
152481,0.47,1.00
152964,0.36,1.00
153487,0.36,1.00
153969,0.36,0.85
154493,0.36,0.85
154976,0.47,0.85
155468,0.47,0.77
155991,0.47,0.77
156474,0.47,1.00
156997,0.47,0.77
157479,0.47,0.85
157962,0.47,1.00
158485,0.36,1.00
158967,0.47,0.85
159490,0.47,0.85
159973,0.47,1.00
160467,0.47,1.00
160990,0.47,1.00
161473,0.47,0.77
161996,0.36,1.00
162478,0.47,0.85
162961,0.47,0.85
163484,0.36,0.85
163967,0.47,0.85
164489,0.36,0.85
164972,0.47,1.00
165470,0.36,1.00
165993,0.36,1.00
166476,0.36,1.00
166999,0.36,0.85
167481,0.47,1.00
167963,0.36,0.77
168486,0.47,0.85
168968,0.36,0.85
169491,0.47,1.00
169973,0.36,0.85
170468,0.47,1.00
170992,0.47,0.85
171474,0.47,0.85
171997,0.36,0.85
172480,0.36,0.85
172962,0.36,1.00
173485,0.47,0.85
173968,0.36,0.85
174491,0.47,0.85
174974,0.47,1.00
175468,0.47,0.85
175992,0.36,0.85
176474,0.47,0.85
176997,0.36,0.77
177480,0.36,0.77
177962,0.47,0.85
178485,0.47,1.00
178968,0.47,0.85
179491,0.47,0.85
179973,0.47,1.00
180470,0.47,0.85
180993,0.36,0.85
181475,0.47,0.85
181997,0.47,1.00
182480,0.47,0.77
182963,0.47,0.85
183485,0.36,0.85
183968,0.36,0.85
184490,0.36,0.85
184972,0.47,1.00
185465,0.47,0.85
185987,0.47,0.85
186470,0.36,0.77
186992,0.47,0.77
187475,0.36,1.00
187998,0.47,0.77
188481,0.36,1.00
188963,0.47,0.85
189486,0.47,1.00
189969,0.47,0.77
190463,0.36,0.77
190987,0.36,0.85
191469,0.36,1.00
191992,0.36,0.77
192475,0.36,0.85
192998,0.47,0.77
193480,0.47,0.85
193963,0.47,0.85
194486,0.36,1.00
194969,0.36,1.00
195466,0.36,1.00
195990,0.36,0.85
196472,0.36,1.00
196995,0.36,0.77
197478,0.36,0.85
197960,0.36,1.00
198483,0.36,1.00
198966,0.47,1.00
199489,0.47,0.85
199972,0.36,0.77
200466,0.47,1.00
200989,0.36,1.00
201471,0.36,1.00
201994,0.36,0.85
202476,0.36,0.77
202999,0.47,0.77
203481,0.47,1.00
203963,0.36,1.00
204486,0.47,0.85
204969,0.47,0.85
205465,0.47,0.85
205988,0.47,0.77
206471,0.47,0.85
206994,0.47,0.85
207476,0.47,1.00
207999,0.47,0.85
208482,0.47,1.00
208964,0.36,0.85
209487,0.36,0.85
209969,0.36,0.85
210464,0.36,0.77
210986,0.36,1.00
211469,0.47,1.00
211992,0.47,0.85
212475,0.47,1.00
212998,0.47,0.85
213480,0.36,0.77
213962,0.47,1.00
214484,0.36,1.00
214967,0.36,1.00
215461,0.36,0.85
215985,0.36,0.85
216467,0.36,1.00
216990,0.36,0.85
217473,0.36,1.00
217995,0.36,0.85
218478,0.36,1.00
218961,0.36,0.85
219484,0.36,0.77
219966,0.36,1.00
220462,0.36,1.00
220984,0.36,0.85
221466,0.36,0.77
221989,0.36,0.85
222472,0.36,1.00
222995,0.36,0.85
223478,0.36,1.00
223960,0.36,0.85
224483,0.36,0.85
224965,0.36,0.85
225500,0.36,0.77
225981,0.36,0.85
226464,0.36,0.77
226986,0.36,1.00
227469,0.36,0.85
227992,0.36,0.85
228474,0.36,1.00
228997,0.36,1.00
229479,0.36,0.85
229962,0.36,0.77
230496,0.36,0.85
230979,0.36,0.85
231462,0.36,1.00
231984,0.36,0.85
232467,0.36,1.00
232989,0.36,0.77
233471,0.36,1.00
233993,0.36,1.00
234476,0.36,0.77
234999,0.36,0.77
235496,0.36,0.85
235978,0.36,1.00
236461,0.36,0.77
236983,0.31,0.85
237466,0.36,0.85
237989,0.36,0.77
238472,0.36,1.00
238995,0.36,0.85
239477,0.36,0.77
239999,0.36,0.85
240493,0.36,0.85
240975,0.36,1.00
241498,0.36,0.85
241981,0.36,0.85
242464,0.36,1.00
242987,0.36,1.00
243470,0.31,0.85
243992,0.36,0.85
244475,0.36,0.85
244998,0.36,1.00
245492,0.36,0.77
245974,0.31,0.85
246497,0.36,0.77
246979,0.36,0.85
247462,-17.91,0.77
247984,0.36,1.00
248467,0.36,0.77
248990,0.36,1.00
249473,0.36,0.85
249995,0.36,0.85
250491,0.36,1.00
250974,0.31,0.85
251497,0.36,0.85
251979,0.36,0.85
252462,0.36,1.00
252985,0.36,0.85
253467,0.36,1.00
253990,0.36,0.85
254472,0.36,0.85
254995,0.36,0.85
255489,0.36,0.85
255971,0.36,1.00
256494,0.31,0.85
256977,0.36,0.77
257498,0.36,0.85
257981,0.36,1.00
258463,0.36,0.85
258986,0.36,0.85
259468,0.36,1.00
259991,0.36,0.85
260485,0.36,0.85
260967,0.47,0.77
261490,0.36,0.85
261972,0.47,0.85
262495,0.36,1.00
262977,0.36,1.00
263460,0.47,0.77
263982,0.36,1.00
264465,0.36,0.77
264988,0.36,0.77
265485,0.36,0.77
265967,0.47,0.85
266490,0.47,1.00
266972,0.36,0.85
267495,0.47,0.77
267978,0.36,0.85
268460,0.36,1.00
268983,0.36,0.85
269466,0.36,0.85
269989,0.36,1.00
270484,0.36,0.85
270966,0.36,0.77
271489,0.36,1.00
271971,0.36,0.77
272494,0.36,1.00
272977,0.47,0.77
273500,0.36,0.85
273982,0.36,1.00
274465,0.36,0.85
274987,0.47,1.00
275483,0.36,1.00
275966,0.36,0.77
276488,0.36,1.00
276971,0.36,0.77
277494,0.31,0.85
277976,0.36,0.77
278500,0.36,0.85
278981,0.36,0.77
279464,0.36,0.85
279986,0.36,0.77
280483,0.36,0.85
280965,0.36,0.85
281489,0.36,1.00
281971,0.36,0.77
282494,0.47,0.77
282977,0.47,1.00
283499,0.36,0.77
283982,0.47,0.85
284465,0.36,0.77
284988,0.36,0.85
285484,0.47,0.77
285967,0.36,0.85
286489,0.47,0.85
286972,0.36,1.00
287495,0.36,0.85
287978,0.36,0.85
288460,0.36,1.00
288983,0.36,0.85
289466,0.36,0.85
289989,0.36,1.00
290487,0.36,0.77
290969,0.36,1.00
291492,0.36,0.85
291975,0.47,0.85
292498,0.47,0.77
292980,0.36,1.00
293463,0.36,0.77
293985,0.36,1.00
294467,0.36,0.85
294990,0.36,1.00
295485,0.36,1.00
295968,0.36,1.00
296491,0.36,0.85
296973,0.36,1.00
297496,0.36,1.00
297978,0.36,0.85
298461,0.36,0.85
298983,0.36,0.85
299466,0.36,0.85
299988,0.36,0.85
300482,0.36,1.00
300965,0.47,0.85
301488,0.47,0.85
301970,0.36,1.00
302493,0.31,1.00
302974,0.36,1.00
303498,0.47,0.85
303980,0.47,1.00
304463,0.36,1.00
304987,0.36,0.77
305483,0.36,0.85
305967,0.36,1.00
306489,0.36,0.85
306972,0.47,0.77
307494,0.36,1.00
307976,0.36,0.85
308499,0.36,1.00
308982,0.47,0.77
309465,0.36,1.00
309988,0.36,1.00
310482,0.36,1.00
310965,0.36,1.00
311488,0.36,0.77
311970,0.36,0.85
312493,0.36,0.85
312975,0.36,1.00
313498,0.47,1.00
313981,0.36,0.77
314464,0.36,1.00
314987,0.36,0.85
315481,0.36,1.00
315963,0.36,1.00
316486,0.36,1.00
316969,0.36,0.85
317492,0.36,1.00
317974,0.36,0.85
318497,0.36,0.85
318979,0.36,0.85
319462,0.47,1.00
319985,0.36,1.00
320482,0.47,0.85
320965,0.47,0.85
321487,0.36,0.85
321969,0.36,1.00
322492,0.36,0.85
322975,0.36,0.77
323497,0.36,0.85
323980,0.36,1.00
324463,0.36,0.77
324986,0.36,0.85
325481,0.36,0.85
325964,0.36,0.77
326487,0.36,1.00
326970,0.36,0.85
327492,0.36,0.77
327975,0.36,0.85
328498,0.36,0.85
328981,0.36,0.77
329464,0.36,0.85
329986,0.36,1.00
330480,0.36,0.77
330963,0.36,0.85
331486,0.47,1.00
331969,0.36,0.77
332491,0.36,1.00
332974,0.36,1.00
333497,0.47,1.00
333980,0.47,0.85
334462,0.36,0.77
334985,0.36,0.85
335482,0.36,0.85
335965,0.47,0.85
336488,0.36,1.00
336971,0.47,0.77
337493,0.36,1.00
337976,0.36,0.85
338499,0.36,0.85
338982,0.36,0.85
339464,0.36,0.85
339987,0.36,0.85
340481,0.36,1.00
340965,0.36,1.00
341487,0.36,0.77
341970,0.36,0.85
342492,0.36,0.77
342975,0.47,0.77
343498,0.47,0.77
343980,0.47,0.77
344463,0.36,1.00
344986,0.47,1.00
345479,0.36,0.85
345961,0.36,0.85
346483,0.36,0.85
346966,0.36,0.85
347489,0.36,1.00
347971,0.47,0.85
348495,0.36,0.77
348977,0.36,1.00
349500,0.36,0.77
349982,0.47,1.00
350478,0.36,0.85
350961,0.36,0.85
351483,0.36,0.77
351966,0.47,0.85
352489,0.47,0.77
352970,0.36,0.85
353493,0.36,0.85
353974,0.47,0.77
354497,0.36,0.85
354978,0.47,0.85
355474,0.36,1.00
355997,0.36,0.85
356479,0.36,0.77
356962,0.36,0.85
357485,0.47,1.00
357967,0.36,1.00
358489,0.47,0.85
358971,0.36,0.85
359495,0.36,1.00
359978,0.36,1.00
360472,0.36,1.00
360994,0.36,0.85
361477,0.36,0.85
361960,0.47,0.85
362483,0.36,0.85
362966,0.47,0.85
363489,0.47,0.85
363972,0.36,0.85
364494,0.47,0.77
364978,0.36,0.85
365474,0.47,0.85
365998,0.36,0.85
366480,0.36,0.85
366962,0.36,1.00
367485,0.36,0.77
367967,0.36,0.85
368490,0.47,1.00
368973,0.31,0.77
369496,0.36,0.77
369979,0.36,0.77
370474,0.36,1.00
370997,0.47,0.77
371479,0.47,0.85
371962,0.36,0.77
372485,0.47,1.00
372967,0.36,0.77
373490,0.36,1.00
373973,0.36,0.85
374495,0.36,0.85
374978,0.36,0.85
375475,0.36,0.85
375998,0.36,0.77
376479,0.36,1.00
376962,0.36,0.85
377485,0.36,0.85
377967,0.47,0.77
378490,0.36,0.85
378973,0.36,0.77
379496,0.47,0.85
379979,0.36,1.00
380473,0.36,1.00
380997,0.47,0.85
381479,0.47,0.77
381962,0.47,1.00
382484,0.47,0.77
382967,0.36,0.85
383490,0.47,1.00
383972,0.36,0.85
384495,0.47,0.85
384978,0.36,0.85
385472,0.47,0.77
385995,0.47,1.00
386478,0.47,0.77
386960,0.47,0.85
387483,0.47,0.85
387964,0.47,1.00
388487,0.47,1.00
388969,0.47,0.77
389493,0.47,0.85
389975,0.36,0.77
390472,0.47,0.77
390995,0.47,0.77
391477,0.47,1.00
391960,0.47,1.00
392483,0.47,1.00
392966,0.47,0.77
393489,0.47,1.00
393972,0.36,0.85
394494,0.47,1.00
394977,0.36,0.85
395472,0.47,1.00
395995,0.36,0.85
396477,0.36,0.85
397000,0.47,1.00
397483,0.36,0.77
397965,0.36,0.77
398487,0.47,0.85
398970,0.36,1.00
399493,0.47,1.00
399976,0.36,1.00
400471,0.47,0.85
400994,0.47,1.00
401477,0.36,0.77
401999,0.31,0.85
402482,0.47,0.77
402965,0.47,1.00
403488,0.36,0.85
403971,0.47,0.85
404493,0.36,0.77
404977,0.36,0.85
405476,0.36,1.00
405999,0.36,1.00
406481,0.36,1.00
406964,0.25,1.00
407485,0.47,0.77
407967,0.47,0.77
408490,0.36,0.85
408972,0.47,0.85
409495,0.47,0.85
409977,0.47,1.00
410473,0.36,0.85
410996,0.36,1.00
411479,0.47,1.00
411962,0.47,0.85
412485,0.47,0.85
412967,0.47,1.00
413490,0.47,1.00
413973,0.36,0.85
414496,0.36,0.85
414977,0.47,1.00
415472,0.47,0.77
415995,0.36,0.77
416478,0.36,1.00
416960,0.47,1.00
417482,0.36,0.77
417965,0.36,1.00
418487,0.36,1.00
418970,0.47,0.77
419493,0.36,0.77
419976,0.36,0.85
420473,0.47,0.77
420997,0.47,0.77
421479,0.47,1.00
421962,0.36,0.77
422484,0.47,0.85
422967,0.47,1.00
423490,0.47,0.77
423972,0.47,0.77
424495,0.36,0.85
424978,0.47,1.00
425472,0.36,0.77
425995,0.31,0.85
426479,0.36,0.85
426961,0.47,0.85
427484,0.36,1.00
427967,0.36,0.85
428490,0.36,0.85
428972,0.36,0.85
429495,0.36,0.85
429978,0.36,0.85
430472,0.36,1.00
430995,0.36,0.85
431477,0.36,0.85
431960,0.36,0.85
432483,0.47,1.00
432966,0.36,1.00
433489,0.36,0.77
433971,0.36,0.85
434494,0.36,1.00
434977,0.47,0.77
435474,0.36,1.00
435997,0.36,0.77
436480,0.36,0.85
436963,0.36,0.85
437486,0.36,1.00
437969,0.36,1.00
438491,0.36,0.85
438975,0.47,1.00
439498,0.36,0.85
439980,0.36,1.00
440475,0.36,1.00
440998,0.36,1.00
441481,0.36,0.85
441964,0.36,0.85
442486,0.36,0.85
442969,0.36,1.00
443491,0.36,1.00
443974,0.36,0.77
444496,0.36,0.85
444979,0.36,1.00
445474,0.47,0.85
445997,0.36,1.00
446480,0.36,0.85
446963,0.36,1.00
447485,0.36,1.00
447968,0.36,0.77
448491,0.36,1.00
448973,0.36,0.85
449496,0.47,1.00
449979,0.47,0.77
450477,0.36,0.85
450960,0.36,0.77
451483,0.47,0.85
451965,0.36,1.00
452488,0.36,0.85
452971,0.47,1.00
453494,0.36,0.77
453975,0.36,1.00
454498,0.47,0.85
454980,0.36,0.85
455475,0.47,1.00
455998,0.47,1.00
456480,0.36,0.85
456962,0.47,0.85
457485,0.47,1.00
457967,0.36,1.00
458490,0.36,0.85
458973,0.47,1.00
459496,0.36,1.00
459979,0.36,0.77
460474,0.36,1.00
460997,0.36,1.00
461480,0.36,0.77
461962,0.36,1.00
462485,0.36,0.77
462968,0.36,1.00
463490,0.36,1.00
463973,0.36,1.00
464496,0.36,1.00
464979,0.36,1.00
465476,0.36,1.00
465999,0.36,0.85
466482,0.47,0.77
466964,0.36,0.77
467487,0.36,1.00
467969,0.36,0.85
468492,0.36,0.77
468974,0.47,1.00
469498,0.36,1.00
