Time,Current,Voltage
0,-1.40,1.00
484,-1.18,0.85
967,-1.24,0.85
1490,-1.24,1.00
1972,-1.18,0.85
2495,-1.18,0.85
2978,-1.18,1.00
3460,-1.18,0.85
3983,-1.18,1.00
4466,-1.07,0.85
4988,-1.07,1.00
5498,-1.07,1.00
5981,-1.07,0.85
6464,-1.07,0.85
6986,-1.07,0.85
7468,-1.07,0.85
7991,-1.07,0.85
8474,-1.07,0.85
8997,-1.07,0.85
9480,-1.02,1.00
9962,-1.02,0.85
10485,-1.02,0.85
10967,-0.96,0.85
11490,-0.85,0.85
11972,-1.07,0.85
12495,-1.07,0.85
12978,-1.07,1.00
13461,-1.02,0.77
13984,-1.02,0.77
14467,-0.96,1.00
14990,-1.02,0.85
15489,-0.96,0.85
15972,-0.85,0.85
16495,-0.96,0.85
16977,-0.85,0.85
17460,-0.96,1.00
17983,-0.96,0.77
18466,-0.85,0.85
18988,-0.96,1.00
19471,-0.85,0.85
19993,-0.85,1.00
20475,-0.80,0.85
20997,-0.85,0.85
21479,-0.80,1.00
21962,-0.80,0.85
22485,-0.80,0.85
22967,-0.80,1.00
23490,-0.80,0.85
23973,-0.80,1.00
24495,-0.80,0.85
24977,-0.80,1.00
25500,-0.74,0.85
25982,-0.80,0.85
26465,-0.74,0.85
26987,-0.74,0.85
27470,-0.74,1.00
27993,-0.74,1.00
28475,-0.74,0.85
28998,-0.74,0.85
29479,-0.80,0.85
29962,-0.80,0.85
30460,-0.80,0.85
30983,-0.85,1.00
31466,-0.80,0.85
31989,-0.85,0.85
32471,-0.80,0.85
32995,-0.80,0.85
33477,-0.80,0.85
34000,-0.80,1.00
34481,-0.80,1.00
34964,-0.80,0.85
35492,-0.80,1.00
35974,-0.80,1.00
36497,-0.80,1.00
36979,-0.80,1.00
37462,-0.80,1.00
37985,-0.80,1.00
38468,-0.80,0.85
38991,-0.80,1.00
39474,-0.80,0.85
39996,-0.80,0.77
40478,-0.80,1.00
40961,-0.80,1.00
41484,-0.80,0.77
41967,-0.74,1.00
42490,-0.74,0.85
42972,-0.74,0.85
43495,-0.74,1.00
43977,-0.74,0.85
44499,-0.74,0.85
44983,-0.74,1.00
45482,-0.80,0.85
45965,-0.80,0.85
46488,-0.74,0.85
46970,-0.74,0.85
47493,-0.80,0.85
47976,-0.96,0.85
48499,-0.74,0.85
48981,-0.80,0.85
49464,-0.80,0.85
49987,-0.80,0.85
50470,-0.80,0.85
