Time,Current,Voltage
0,-0.32,11.85
428,-0.32,11.85
929,-0.32,11.85
1431,-0.32,11.85
1932,-0.32,11.85
2434,-0.32,11.85
2935,-0.32,11.85
3436,-0.32,11.85
3938,-0.32,11.85
4439,-0.32,11.85
4941,-0.09,11.69
5466,0.14,11.62
5967,0.37,11.46
6469,0.65,11.38
6970,0.88,11.38
7472,1.11,11.22
7973,1.30,11.14
8475,1.53,11.07
8977,1.57,11.07
9478,1.76,11.07
9979,1.85,11.07
10404,1.99,11.07
10906,2.08,11.07
11407,2.17,11.07
11909,2.27,11.07
12410,2.27,11.07
12912,2.31,11.07
13413,2.45,11.07
13914,2.54,11.07
14416,2.54,11.07
14917,2.54,11.07
15444,2.64,11.07
15946,2.68,11.07
16447,2.73,11.07
16949,2.73,11.07
17451,2.78,11.07
17952,2.78,11.07
18454,2.82,11.07
18955,2.82,11.07
19457,2.82,11.07
19958,2.82,11.07
20482,2.87,11.07
20984,2.87,11.07
21485,2.91,11.07
21987,2.91,11.07
22488,2.91,11.07
22990,2.96,11.07
23491,2.96,11.07
23993,2.96,11.07
24494,2.96,11.07
24995,2.96,11.07
25419,2.96,11.07
25921,2.96,11.07
26422,2.96,11.07
26924,2.96,11.07
27425,2.96,11.07
27927,2.96,11.07
28428,2.96,11.07
28929,2.96,11.07
29431,3.01,11.07
29932,3.01,11.07
30459,3.01,11.07
30961,3.01,11.07
31462,3.01,11.07
31964,3.01,11.07
32465,3.05,11.07
32967,3.05,11.07
33468,3.05,11.07
33969,2.87,11.07
34471,2.64,11.07
34972,2.41,11.07
35498,2.22,11.07
36000,1.99,11.07
36401,1.80,11.07
36902,1.76,11.07
37404,1.76,11.07
37905,1.76,11.07
38406,1.76,11.07
38907,1.76,11.07
39409,1.76,11.07
39910,1.76,11.07
40434,1.76,11.07
40936,1.76,11.07
41437,1.76,11.07
41939,1.76,11.07
42440,1.76,11.07
42941,1.76,11.07
43442,1.76,11.07
43943,1.76,11.07
44445,1.76,11.07
44946,1.76,11.07
