Time,Current,Voltage
0,23.89,1.00
489,23.89,0.85
972,23.89,1.00
1495,23.89,1.00
1977,23.89,0.85
2460,23.89,0.85
2983,23.89,0.85
3465,23.89,1.00
3988,23.89,1.00
4471,23.89,0.85
4994,23.89,0.85
5479,23.89,1.00
5962,23.89,0.85
6485,23.89,1.00
6968,23.89,1.00
7491,23.89,0.85
7973,23.89,0.85
8496,23.89,0.85
8979,23.89,1.00
9461,23.89,0.85
9984,23.89,1.00
10468,23.89,0.85
10992,23.89,0.85
11474,23.89,1.00
11997,23.89,0.85
12480,23.89,0.77
12963,23.89,0.85
13486,23.89,0.85
13968,23.89,0.85
14491,23.89,0.85
14974,23.89,0.85
15460,23.89,1.00
15983,23.89,0.77
16465,23.89,1.00
16988,23.89,1.00
17471,23.89,0.77
17993,23.89,0.85
18476,23.89,0.85
18999,23.89,1.00
19481,23.89,0.85
19964,23.89,0.85
20488,23.89,0.85
20971,23.89,0.77
21494,23.89,1.00
21977,23.89,0.85
22499,23.89,0.85
22982,23.89,1.00
23465,23.89,0.85
23988,23.89,1.00
24471,23.89,1.00
24994,23.89,1.00
25478,23.89,0.85
25961,23.89,1.00
26484,23.89,0.85
26967,23.89,0.85
27490,23.89,0.85
27973,23.89,0.77
28496,23.89,0.77
28977,23.89,0.85
29460,23.89,0.85
29983,23.89,1.00
30469,20.68,0.77
30992,20.52,0.85
31475,21.46,0.77
31998,21.79,1.00
32481,22.73,1.00
32963,23.55,0.77
33486,23.89,0.85
33969,23.89,1.00
34492,23.89,0.77
34974,23.89,0.85
35499,23.89,0.77
35982,23.89,0.77
36465,23.89,1.00
36986,23.89,0.85
37469,23.89,0.85
37991,23.89,1.00
38474,23.89,0.85
38997,23.89,1.00
39480,23.89,1.00
39963,23.89,1.00
40486,19.91,1.00
40969,20.57,0.77
41492,20.57,0.85
41974,23.89,1.00
42497,23.89,1.00
42980,23.89,0.77
43463,23.89,0.85
43986,23.89,0.85
44468,23.89,1.00
44991,23.89,1.00
45479,21.18,1.00
45961,22.23,1.00
46484,21.18,0.77
46966,20.74,0.85
47489,21.29,0.85
47972,21.90,1.00
48494,22.23,0.85
48977,22.51,0.85
49460,23.00,1.00
49983,23.17,0.85
50468,23.89,1.00
50991,23.89,1.00
51474,23.89,1.00
51996,23.89,1.00
52478,23.89,0.77
52961,23.89,0.85
53483,23.89,0.85
53966,23.89,0.77
54490,23.89,0.85
54971,23.89,0.85
55496,23.89,0.77
55979,23.89,0.77
56462,23.89,0.85
56985,23.89,1.00
57467,23.89,0.85
57990,23.89,0.85
58473,23.89,0.77
58996,23.89,0.85
59479,23.89,0.85
59961,23.89,0.85
60490,23.89,1.00
60971,23.89,0.77
61494,23.89,0.85
61977,23.89,1.00
62459,23.89,0.77
62983,23.89,0.85
63466,23.89,1.00
63989,23.89,0.85
64471,23.89,1.00
64994,23.89,0.77
65480,23.89,0.85
65962,23.89,0.77
66485,23.89,1.00
66967,23.89,1.00
67490,23.89,1.00
67972,23.89,0.85
68495,23.89,0.85
68978,23.89,1.00
69460,23.89,0.85
69984,23.89,0.85
70469,23.89,0.85
70992,23.89,0.85
71475,23.89,1.00
71996,23.89,0.85
72479,23.89,0.85
72962,23.89,0.77
73485,23.89,1.00
73967,23.89,0.77
74490,23.89,0.85
74972,23.89,0.85
75499,23.89,0.77
75982,23.89,0.85
76465,23.89,1.00
76988,23.89,0.85
77470,23.89,0.85
77991,23.89,1.00
78474,23.89,0.85
78996,23.89,0.85
79479,23.89,0.85
79962,23.89,1.00
80486,23.89,0.85
80969,23.89,0.85
81492,23.89,1.00
81974,23.89,0.85
82497,23.89,0.85
82979,23.89,1.00
83462,23.89,0.85
83985,23.89,0.85
84467,23.89,0.85
84990,23.89,0.77
85477,23.17,0.85
85960,23.06,0.85
86483,23.17,0.85
86965,23.22,0.85
87489,23.22,1.00
87972,23.06,0.77
88494,23.06,0.77
88976,23.89,0.85
89498,23.89,0.85
89981,23.28,1.00
90464,23.89,0.85
90987,23.89,0.85
91469,23.89,0.85
91992,23.89,0.77
92475,23.89,0.85
92998,23.89,1.00
93480,23.89,0.85
93963,23.89,1.00
94485,23.89,1.00
94968,23.89,0.77
