Time,Current,Voltage
0,2.87,11.22
496,0.74,11.77
998,1.53,11.77
1499,2.04,11.85
1999,1.80,11.69
2499,0.88,11.77
2999,1.62,11.69
3499,0.51,11.46
3999,1.80,11.77
4497,1.39,11.85
4999,2.50,11.62
5497,0.83,11.77
5998,0.88,11.85
6499,1.25,11.85
6998,1.94,11.85
7499,1.02,11.85
7998,1.94,11.77
8499,2.13,11.77
8998,0.70,11.85
9499,1.20,11.69
9998,2.08,11.54
10497,3.10,11.22
10996,2.17,11.07
11496,0.60,11.77
11996,1.20,12.17
12496,0.46,11.46
12996,2.36,11.14
13496,1.94,11.46
13997,1.71,11.14
14496,2.87,11.46
14997,1.71,10.99
15497,2.36,10.99
15998,0.88,11.85
16498,1.20,11.85
16998,2.87,11.07
17498,1.94,11.54
17998,2.54,11.22
18498,2.36,11.62
18998,2.50,11.54
19498,0.65,11.77
19998,2.17,11.14
20500,2.50,11.93
21000,1.99,11.07
21496,1.16,11.54
21996,0.60,11.77
22496,0.33,11.14
22999,2.87,11.62
23498,1.48,11.85
23999,1.02,11.62
24499,0.70,11.69
24996,2.27,11.38
25499,1.62,11.85
25999,0.88,11.85
26500,2.59,11.14
26999,2.82,11.14
27500,0.70,11.07
27999,1.76,11.62
28496,0.93,11.54
28996,0.74,11.77
29496,0.60,11.93
29996,3.01,11.07
30496,0.70,11.77
30996,2.54,11.46
31497,1.76,11.07
32000,2.59,10.91
32499,0.51,11.69
33000,0.88,11.85
33500,1.71,11.54
33996,1.76,11.22
34496,0.88,11.85
34996,0.60,11.77
35497,0.65,11.46
35997,0.51,11.38
36499,0.65,11.62
36998,1.48,11.46
37499,1.25,11.85
37999,0.70,11.77
38499,0.33,11.38
38999,2.73,11.62
39499,2.31,11.69
39996,0.46,11.85
40499,2.27,11.14
40996,0.83,11.85
41496,1.25,11.77
41999,0.46,11.77
42499,2.36,11.14
42999,1.57,11.46
43498,1.90,11.62
43998,0.70,11.62
44498,1.48,10.99
44998,1.76,11.85
45498,1.90,11.62
45997,2.96,11.85
46497,1.62,11.38
46997,1.25,11.85
47496,1.62,11.85
47996,0.46,11.69
48496,1.85,11.14
48996,2.31,11.62
49496,1.25,11.46
49996,2.08,11.38
50498,1.85,11.07
50998,0.46,11.69
51498,1.71,11.85
51998,2.41,11.46
52498,1.71,11.85
52998,1.76,11.85
53498,1.57,11.69
53998,1.48,11.46
54498,1.71,11.46
54998,0.42,11.69
55496,1.90,11.38
55996,2.54,11.54
56496,0.42,11.54
56996,0.51,11.54
57496,2.68,11.46
57996,1.48,11.85
58496,0.93,11.85
58996,0.60,11.54
59497,1.25,11.85
59997,3.52,11.54
60497,1.85,11.22
60997,0.79,11.85
61497,1.30,11.46
61997,1.43,11.38
62496,0.46,11.85
62997,2.50,11.69
63497,0.70,11.14
63997,0.46,11.85
64497,0.74,11.54
64997,2.68,11.46
65497,2.41,11.77
65997,1.76,11.22
66497,1.71,11.62
66997,2.36,10.91
67497,1.39,11.69
67996,0.88,11.85
68499,2.64,11.07
68999,1.85,11.46
69498,2.45,11.07
69997,1.99,11.38
70500,1.16,11.77
70997,0.65,11.46
71500,0.42,11.69
71999,2.64,11.14
72499,1.90,11.62
72999,1.62,11.62
73498,0.97,11.85
73996,2.91,11.54
74496,3.01,11.07
74997,2.73,11.77
75496,1.71,11.38
75996,0.33,11.38
76496,0.37,11.38
77000,0.46,11.69
77496,0.23,11.22
77996,1.02,11.77
78497,2.87,11.69
78996,2.96,11.54
79497,0.65,11.62
79997,0.65,11.46
80499,1.07,11.85
80998,2.04,11.77
81499,1.48,11.46
81999,0.42,11.54
82496,0.65,12.01
82998,2.87,11.54
83498,0.37,11.22
83998,1.39,11.85
84498,1.30,11.85
84996,1.25,11.38
85496,1.02,11.77
85998,1.62,11.38
86498,0.93,11.69
86998,1.90,11.69
87498,0.83,11.62
87998,0.37,11.77
88497,1.76,11.77
88998,1.85,11.07
89497,2.27,11.85
89997,0.93,11.62
90498,0.60,11.46
90998,0.70,11.77
91498,2.13,11.62
91997,1.62,11.77
