Time,Current,Voltage
0,-0.37,11.85
296,-0.37,11.85
578,-0.37,11.85
900,-0.37,11.85
1182,-0.37,11.85
1464,-0.37,11.85
1785,-0.37,11.85
2066,-0.37,11.85
2388,-0.37,11.85
2670,-0.37,11.85
2992,-0.37,11.85
3274,-0.37,11.85
3596,-0.37,11.85
3877,-0.37,11.85
4200,-0.37,11.85
4481,-0.37,11.85
4763,-0.37,11.85
5128,-0.37,11.85
5370,-0.37,11.85
5692,-0.37,11.85
5974,-0.37,11.85
6296,-0.37,11.85
6578,-0.37,11.85
6900,-0.37,11.85
7181,-0.37,11.85
7463,-0.37,11.85
7785,-0.37,11.85
8067,-0.37,11.85
8390,-0.37,11.85
8670,-0.37,11.85
8991,-0.37,11.85
9273,-0.37,11.85
9595,-0.37,11.85
9877,-0.37,11.85
10188,-0.37,11.85
10470,-0.37,11.85
10792,-0.37,11.85
11074,-0.37,11.85
11396,-0.37,11.85
11677,-0.37,11.85
11999,-0.37,11.85
12281,-0.37,11.85
12563,-0.37,11.85
12885,-0.37,11.85
13167,-0.37,11.85
13488,-0.37,11.85
13770,-0.37,11.85
14092,-0.37,11.85
14374,-0.37,11.85
14696,-0.37,11.85
14977,-0.37,11.85
