Time,Current,Voltage
0,23.89,0.85
479,23.89,1.00
962,23.89,0.85
1485,23.89,1.00
1968,23.89,0.85
2490,23.89,1.00
2973,23.89,1.00
3496,23.89,0.85
3979,23.89,1.00
4462,23.89,0.85
4985,23.89,1.00
5489,23.89,1.00
5971,23.89,1.00
6494,23.89,1.00
6976,23.89,0.77
7499,23.89,0.85
7981,23.89,0.77
8464,23.89,0.85
8987,23.89,0.85
9470,23.89,0.77
9993,23.89,1.00
10470,23.89,0.77
10993,23.89,0.85
11476,23.89,0.85
11999,23.89,0.77
12481,23.89,1.00
12964,23.89,1.00
13486,23.89,0.77
13969,23.89,1.00
14491,23.89,0.77
14974,23.89,1.00
15469,23.89,0.77
15992,23.89,1.00
16474,23.89,0.85
16996,23.89,0.85
17479,23.89,0.85
17961,23.89,0.85
18484,23.89,0.85
18966,23.89,0.77
19489,23.89,1.00
19971,23.89,1.00
20487,23.89,1.00
20969,23.89,0.85
21491,23.89,0.85
21974,23.89,0.85
22497,23.89,1.00
22980,23.89,1.00
23463,23.89,0.77
23985,23.89,0.77
24468,23.89,0.85
24991,23.89,1.00
25464,23.89,0.77
25988,23.89,1.00
26470,23.89,0.85
26993,23.89,0.85
27476,23.89,0.77
27999,23.89,0.77
28481,23.89,0.77
28964,23.89,0.85
29486,23.89,0.85
29969,23.89,0.77
30499,23.89,0.77
30982,23.89,0.85
31465,23.89,0.85
31988,23.89,0.85
32471,23.89,0.85
32993,23.89,0.85
33476,23.89,1.00
33998,23.89,0.77
34481,23.89,1.00
34964,23.89,0.85
35477,23.89,0.85
36000,23.89,0.85
36483,23.89,0.85
36965,23.89,1.00
37488,23.89,0.77
37971,23.89,1.00
38493,23.89,0.77
38976,23.89,0.85
39499,23.89,1.00
39981,23.89,0.85
40494,23.89,0.85
40977,23.89,1.00
41499,23.89,1.00
41982,23.89,1.00
42465,23.89,1.00
42988,23.89,0.85
43470,23.89,1.00
43993,23.89,0.77
44475,23.89,0.85
44999,23.89,0.85
45489,23.89,0.85
45972,23.89,0.85
46495,23.89,0.85
46977,23.89,1.00
47500,23.89,0.77
47982,23.89,0.77
48465,23.89,0.85
48988,23.89,1.00
49470,23.89,0.85
49993,23.89,1.00
50467,23.89,0.77
50990,23.89,0.85
51472,23.89,0.85
51995,23.89,1.00
52478,23.89,1.00
52961,23.89,1.00
53483,23.89,0.85
53966,23.89,0.85
54488,23.89,0.85
54969,23.89,0.85
55482,23.89,0.85
55964,23.89,0.85
56487,23.89,0.85
56970,23.89,0.85
57493,23.89,0.85
57976,23.89,0.85
58498,23.89,0.85
58981,23.89,0.85
59464,23.89,0.85
59987,23.89,0.85
60477,23.89,0.85
61000,23.89,0.85
61482,23.89,0.85
61964,23.89,0.85
62487,23.89,0.85
62969,23.89,0.85
63491,23.89,0.85
63974,23.89,0.85
64496,23.89,0.85
64979,23.89,0.85
65491,23.89,0.85
65973,23.89,0.85
66496,23.89,0.85
66978,23.89,0.85
67461,23.89,0.85
67985,23.89,0.85
68467,23.89,0.77
68990,23.89,0.77
69472,23.89,0.77
69995,23.89,0.85
70468,23.89,0.85
70991,23.89,0.77
71474,23.89,1.00
71997,23.89,0.85
72480,23.89,0.77
72963,23.89,0.77
73486,23.89,0.77
73968,23.89,0.77
74491,23.89,1.00
74974,23.89,0.77
75461,23.89,0.77
75984,23.89,0.85
76466,23.89,0.77
76989,23.89,0.77
77472,23.89,0.77
77995,23.89,0.85
78477,23.89,0.85
78960,23.89,0.85
79484,23.89,1.00
79966,23.89,1.00
80491,23.89,0.85
80974,23.89,0.77
81496,23.89,0.85
81979,23.89,1.00
82462,23.89,0.85
82985,23.89,0.77
83468,23.89,1.00
83990,23.89,0.85
84473,23.89,1.00
84996,23.89,0.85
85483,23.89,0.77
85965,23.89,1.00
86488,23.89,0.85
86971,23.89,0.85
87493,23.89,0.77
87976,23.89,1.00
88497,23.89,0.77
88980,23.89,1.00
89464,23.89,1.00
89987,23.89,0.85
90471,23.89,0.85
90994,23.89,0.77
91477,23.89,0.77
92000,23.89,0.77
92482,23.89,0.85
92965,23.89,0.85
93488,23.89,0.85
93970,23.89,0.85
94493,23.89,0.77
94976,23.89,1.00
95500,23.89,0.85
95983,23.89,0.85
96466,-31.28,1.00
96989,23.89,0.85
97471,23.89,0.85
97994,23.89,0.85
98477,23.89,1.00
99000,23.89,0.85
99482,23.89,0.85
99965,23.89,0.85
100491,23.89,0.85
100974,23.89,1.00
101497,23.89,0.77
101979,23.89,0.85
102462,23.89,0.85
102985,23.89,1.00
103468,23.89,1.00
103991,23.89,1.00
104474,23.89,0.85
104996,23.89,1.00
105481,23.89,0.77
105964,23.89,0.85
106487,23.89,1.00
106970,23.89,1.00
107493,23.89,0.85
107975,23.89,0.85
108499,23.89,0.85
108982,23.89,0.77
109464,23.89,0.77
109987,23.89,0.85
