Time,Current,Voltage
0,1.20,11.85
494,3.10,11.62
992,0.83,11.77
1499,2.50,11.62
1999,0.51,11.38
2497,2.41,11.85
2995,1.39,11.85
3493,3.19,11.85
3993,1.43,11.93
4491,0.70,11.46
4991,3.01,11.77
5493,0.79,11.62
5991,0.79,11.77
6490,0.51,11.22
6999,2.13,11.85
7498,1.48,11.77
7997,3.70,11.46
8497,1.85,11.69
8995,2.82,11.69
9494,2.04,11.85
9993,0.97,11.22
10498,0.60,11.38
10997,2.54,11.85
11495,2.91,11.77
11992,1.94,11.93
12490,2.08,11.62
12999,3.19,11.54
13498,2.87,11.69
13996,3.10,11.54
14495,0.83,11.14
14994,0.51,11.69
15500,0.88,11.62
15999,0.79,11.14
16497,2.41,11.77
16995,2.87,11.46
17494,3.05,11.38
17993,0.79,11.46
18492,1.53,11.22
18992,3.05,11.77
19500,2.73,11.77
19998,0.93,11.07
20492,2.50,11.22
20991,1.48,11.85
21499,2.04,11.62
21997,2.36,11.54
22496,0.93,11.14
22995,1.16,11.85
23493,1.94,11.54
23991,1.07,11.22
24490,1.62,11.69
24997,1.99,11.85
25491,1.53,11.69
25990,0.83,11.85
26499,2.50,11.85
26998,2.45,11.69
27497,2.08,11.38
27996,2.17,11.14
28494,1.53,11.62
28993,0.51,11.77
29492,1.07,11.54
29992,3.38,11.22
30497,0.51,10.99
30997,1.80,11.77
31496,2.08,11.07
31993,2.54,11.69
32492,2.13,11.07
32990,2.13,11.69
33499,0.93,11.69
33998,2.91,11.46
34496,0.74,11.38
34994,1.94,11.07
35498,1.25,11.07
35997,2.50,11.77
36495,1.43,11.22
36994,1.76,11.38
37493,2.36,11.54
37992,0.70,11.69
38491,3.42,11.69
38999,1.62,11.77
39497,0.70,11.54
39995,2.04,11.77
40499,0.74,11.69
40997,0.70,11.07
41496,0.70,11.54
41994,0.51,11.54
42492,0.93,11.54
42990,1.53,11.77
43498,3.10,11.46
43996,2.73,11.62
44494,0.70,11.85
44992,0.88,11.54
45497,1.07,11.14
45996,0.65,11.54
46495,1.30,11.62
46993,0.60,11.22
47492,0.51,11.62
48000,2.54,11.77
48499,2.31,11.85
48997,1.80,11.22
49497,1.30,11.62
49996,0.65,11.62
50500,1.57,11.07
51000,2.91,11.77
51498,2.36,11.07
51997,2.04,11.14
52495,0.93,11.07
52994,0.93,11.14
53493,1.90,11.22
53991,2.73,11.46
54500,1.57,11.62
54998,0.88,11.54
55493,2.13,11.54
55992,3.42,11.77
56491,3.42,11.46
57000,1.30,10.99
57499,1.34,10.99
57998,1.57,11.54
58497,2.04,11.07
58997,2.31,11.62
59495,0.51,11.85
59995,0.46,11.85
60493,1.90,11.77
60992,0.83,11.54
61491,1.85,11.85
61999,2.50,11.85
62498,0.65,11.14
62996,0.79,11.38
63495,2.04,11.54
63993,2.96,11.54
64491,2.13,11.54
65000,1.43,11.46
65491,2.13,11.07
66000,1.53,11.62
66499,2.04,11.22
66997,0.88,11.85
67496,1.80,10.99
67994,3.42,11.62
68493,0.74,10.99
68992,1.62,11.38
69490,1.71,11.77
69999,0.65,11.62
70493,1.57,11.22
70991,0.42,11.69
71499,2.45,11.77
71999,1.85,11.77
72497,2.41,11.69
72995,1.43,11.85
73495,0.51,11.85
73991,1.71,11.46
74490,1.99,11.14
75000,1.94,11.85
75495,3.05,11.38
75994,0.83,11.07
76493,0.70,11.22
76991,0.93,11.14
77500,3.01,11.62
77999,2.96,11.85
78498,0.74,11.62
78996,2.73,11.54
79495,2.50,11.62
79993,1.34,11.62
80498,2.36,11.62
80998,1.43,11.14
81495,1.48,11.77
81994,0.79,11.77
82492,0.79,10.99
82999,1.25,11.22
83498,2.04,11.62
83995,0.65,11.46
84494,0.79,11.62
84991,2.82,11.77
85496,0.65,11.62
85995,0.83,11.14
86494,0.83,11.38
86993,1.20,11.22
87491,1.07,12.17
88000,2.68,11.77
88499,2.17,11.77
88998,1.07,11.38
89498,0.83,11.77
89997,2.82,11.77
90499,2.54,11.77
90997,2.31,11.54
91496,2.36,11.85
91995,3.28,11.54
92495,1.76,11.38
